CSD refcode,CIF filename
ABAYIO,abayio_P1_charged
ABEXEN,abexen_P1_charged
ACODON,acodon_P1_charged
ADATUW,adatuw_P1_charged
ADEGEY,adegey_P1_charged
ADINCU,adincu_P1_charged
ADUWON,aduwon_P1_charged
AFADAN,afadan_P1_charged
AFENEE,afenee_P1_charged
AFUVUV,afuvuv_P1_charged
AGABIU,agabiu_P1_charged_H
AGOFEJ,agofej_P1_charged
AGOVID,agovid_P1_charged
AGOWAW,agowaw_P1_charged
AGOWEA,agowea_P1_charged
AJOCOU,ajocou_P1_charged
ALICEE,alicee_P1_charged
ALICII,alicii_P1_charged
ALIXID,alixid_P1_charged
ALOLES,aloles_P1_charged_H
ALOLIY,aloliy_P1_charged
ALURAB,alurab_P1_charged
ALUREF,aluref_P1_charged
ALURIJ,alurij_P1_charged
AMEJIM,amejim_P1_charged_H
AMIYIG,amiyig_P1_charged
AMIZAZ,amizaz_P1_charged
AMIZAZ01,amizaz01_P1_charged
AMIZAZ02,amizaz02_P1_charged
AMOBEL02,amobel02_P1_charged
AMOMUM,amomum_P1_charged
AMONAT,amonat_P1_charged
AMURUX02,amurux02_P1_charged
AMURUX10,amurux10_P1_charged
AMURUX11,amurux11_P1_charged
AMUWIP,amuwip_P1_charged
AMUXAI,amuxai_P1_charged_H
AQIXUV,aqixuv_P1_charged
ARADEE,aradee_P1_charged
ARINUL,arinul_P1_charged
AROQAB,aroqab_P1_charged
ASUJIJ,asujij_P1_charged
ATEYED,ateyed_P1_charged_H
ATEYOP,ateyop_P1_charged
ATEYUV,ateyuv_P1_charged
ATEZAC,atezac_P1_charged
ATIXUX,atixux_P1_charged
ATURIS,aturis_P1_charged
ATUXOE,atuxoe_P1_charged_H
ATUXUK,atuxuk_P1_charged_H
ATUYAR,atuyar_P1_charged_H
AVIVAC,avivac_P1_charged
AVIVEG,aviveg_P1_charged
AVIVIK,avivik_P1_charged
AVIVOQ,avivoq_P1_charged
AVIVUW,avivuw_P1_charged
AWAGOV,awagov_P1_charged
AWEDOW,awedow_P1_charged
AWEVIJ,awevij_P1_charged
AXUKUB,axukub_P1_charged
AXULAI,axulai_P1_charged
AXULEM,axulem_P1_charged
AYUWUM,ayuwum_P1_charged
BADZAK,badzak_P1_charged
BAFBES,bafbes_P1_charged
BALJOQ,baljoq_P1_charged
BAMKIM,bamkim_P1_charged
BAMKOS,bamkos_P1_charged_H
BAMMOU,bammou_P1_charged
BAMMUA,bammua_P1_charged
BAMNAH,bamnah_P1_charged
BAMNEL,bamnel_P1_charged
BARKUD,barkud_P1_charged
BARLEO,barleo_P1_charged
BARMEP,barmep_P1_charged_H
BASMAM,basmam_P1_charged
BEJYOH,bejyoh_P1_charged
BEJYUN,bejyun_P1_charged
BELVAR,belvar_P1_charged
BEQJOZ,beqjoz_P1_charged
BEQJUF,beqjuf_P1_charged
BETHIT,bethit_P1_charged
BEWVEG,bewveg_P1_charged
BEWVOQ,bewvoq_P1_charged_H
BIDMAE,bidmae_P1_charged
BIDPAH,bidpah_P1_charged
BIFNOW,bifnow_P1_charged_H
BIFPAK,bifpak_P1_charged_H
BIFPOY,bifpoy_P1_charged_H
BIFSOB,bifsob_P1_charged
BIHBAX,bihbax_P1_charged
BIJZEC,bijzec_P1_charged
BIRBIQ,birbiq_P1_charged
BIRBOW,birbow_P1_charged
BIRBUC,birbuc_P1_charged
BIRCAJ,bircaj_P1_charged
BOCFIL,bocfil_P1_charged
BOFBII,bofbii_P1_charged
BOMCUB,bomcub_P1_charged
BOMVUX,bomvux_P1_charged
BOPHIZ,bophiz_P1_charged
BOPPUU,boppuu_P1_charged
BOWNEJ,bownej_P1_charged
BOWZUK,bowzuk_P1_charged
BOXFAW,boxfaw_P1_charged_H
BOXFEA,boxfea_P1_charged_H
BOXFIE,boxfie_P1_charged
BOXFOK,boxfok_P1_charged_H
BOXYIY,boxyiy_P1_charged
BUFNEW,bufnew_P1_charged_H
BUFNOG,bufnog_P1_charged_H
BUFNUM,bufnum_P1_charged_H
BUFNUM01,bufnum01_P1_charged_H
BUFNUM02,bufnum02_P1_charged_H
BUFPAU01,bufpau01_P1_charged_H
BUJMAX,bujmax_P1_charged
BUJMEB,bujmeb_P1_charged
BUNMOP,bunmop_P1_charged
BUPDUM,bupdum_P1_charged
BUPFAU,bupfau_P1_charged
BUPFEY,bupfey_P1_charged
BUPGUP,bupgup_P1_charged
BUVFAC,buvfac_P1_charged
BUWLUC,buwluc_P1_charged_H
BUWMAJ,buwmaj_P1_charged_H
BUWMIR,buwmir_P1_charged
BUXTIZ,buxtiz_P1_charged
BUYNAL,buynal_P1_charged
CACBUG,cacbug_P1_charged
CAFRUX,cafrux_P1_charged
CAJWAN,cajwan_P1_charged
CAQCAZ,caqcaz_P1_charged_H
CARFEJ,carfej_P1_charged
CARFOT,carfot_P1_charged_H
CAWDOU,cawdou_P1_charged
CAWDOU02,cawdou02_P1_charged
CAXTUS,caxtus_P1_charged
CAZGOZ,cazgoz_P1_charged_H
CAZNIC,caznic_P1_charged_H
CAZNOI,caznoi_P1_charged_H
CAZZIP,cazzip_P1_charged
CEBDOD,cebdod_P1_charged_H
CECKIH,ceckih_P1_charged
CECKON,ceckon_P1_charged
CEFDAU,cefdau_P1_charged
CEJCAW,cejcaw_P1_charged_H
CEKROB,cekrob_P1_charged
CELJUA,celjua_P1_charged
CELNUF,celnuf_P1_charged_H
CEMJOV,cemjov_P1_charged
CENQAP,cenqap_P1_charged
CETKUK,cetkuk_P1_charged
CETLAR,cetlar_P1_charged
CEVCAK,cevcak_P1_charged
CEVJEV,cevjev_P1_charged
CEZCOC,cezcoc_P1_charged
CEZYUE,cezyue_P1_charged
CIDNIM,cidnim_P1_charged_H
CIFLAH,ciflah_P1_charged_H
CIJLIT,cijlit_P1_charged
CIMTAV,cimtav_P1_charged_H
CIPREZ,ciprez_P1_charged
CIYHOK,ciyhok_P1_charged_H
COCDAC,cocdac_P1_charged
COCDEG,cocdeg_P1_charged
COKFAK,cokfak_P1_charged
COKMEW,cokmew_P1_charged
COKMIA,cokmia_P1_charged
COKMOG,cokmog_P1_charged
COKMUM,cokmum_P1_charged
COKNAT,coknat_P1_charged
COKNIB,coknib_P1_charged
COKNOH,coknoh_P1_charged
COKNUN,coknun_P1_charged
COKPEZ,cokpez_P1_charged
COKPID,cokpid_P1_charged
COKPOJ,cokpoj_P1_charged
COKPUP,cokpup_P1_charged
COKQAW,cokqaw_P1_charged
COKQEA,cokqea_P1_charged
COKQIE,cokqie_P1_charged
COKQOK,cokqok_P1_charged
CONWOU,conwou_P1_charged
CONWUA,conwua_P1_charged
COPBOB,copbob_P1_charged_H
COQHUN,coqhun_P1_charged
COQKEB,coqkeb_P1_charged
COTYIV,cotyiv_P1_charged
COWSAL,cowsal_P1_charged
COXFOL,coxfol_P1_charged_H
CUBQIB,cubqib_P1_charged_H
CUCFOX,cucfox_P1_charged
CUDPOI,cudpoi_P1_charged
CUDPUO,cudpuo_P1_charged
CUDQAV,cudqav_P1_charged
CUDQEZ,cudqez_P1_charged
CUFDOX,cufdox_P1_charged
CUFFEP,cuffep_P1_charged
CUFFIT,cuffit_P1_charged
CUFFOZ,cuffoz_P1_charged
CUFFUF,cuffuf_P1_charged
CUKXEN,cukxen_P1_charged
CUMDIY,cumdiy_P1_charged
CUQSAK,cuqsak_P1_charged_H
CURYIA,curyia_P1_charged
CUSDIE,cusdie_P1_charged_H
CUSHEG,cusheg_P1_charged_H
CUSHIK,cushik_P1_charged_H
CUSHUW,cushuw_P1_charged_H
CUSJAE,cusjae_P1_charged_H
CUSJOS,cusjos_P1_charged_H
CUSKOT,cuskot_P1_charged_H
CUSLAG,cuslag_P1_charged_H
CUTFON,cutfon_P1_charged
CUTFUT,cutfut_P1_charged
CUTGAA,cutgaa_P1_charged
CUWNOZ,cuwnoz_P1_charged
CUYBIK,cuybik_P1_charged
DABFET,dabfet_P1_charged
DABFIX,dabfix_P1_charged
DACDIY,dacdiy_P1_charged
DACYUE,dacyue_P1_charged
DADTOS,dadtos_P1_charged
DADTOS01,dadtos01_P1_charged
DADTOS02,dadtos02_P1_charged
DADTOS04,dadtos04_P1_charged
