CSD refcode,CIF filename
ABEFUL,abeful_P1_H
ACALIB,acalib_P1_H
ACIBOE,aciboe_P1_H
ACMPCD,acmpcd_P1_H
ACOBEC,acobec_P1_H
ACUHEO,acuheo_P1_H
ACUTOI,acutoi_P1_H
AFIPAH,afipah_P1_H
AFOYEB,afoyeb_P1_H
AGABIU,agabiu_P1_charged_H
AGESIP,agesip_P1_H
AHEBAS,ahebas_P1_H
AHEQAH,aheqah_P1_H
AHETAK,ahetak_P1_H
AHUTIH,ahutih_P1_H
AJIGIL,ajigil_P1_H
ALIXUP,alixup_P1_H
ALOLES,aloles_P1_charged_H
AMEJIM,amejim_P1_charged_H
AMIZEC,amizec_P1_H
AMUXAI,amuxai_P1_charged_H
ARUDAU,arudau_P1_H
ASAMUE,asamue_P1_H
ATEYED,ateyed_P1_charged_H
ATOTIM,atotim_P1_H
ATUXOE,atuxoe_P1_charged_H
ATUXUK,atuxuk_P1_charged_H
ATUYAR,atuyar_P1_charged_H
AVELOD,avelod_P1_H
AVEMAQ,avemaq_P1_H
AVUCEA,avucea_P1_H
AVUPIR,avupir_P1_H
AWAKEQ,awakeq_P1_H
AWASAU,awasau_P1_H
AWASEY,awasey_P1_H
AWEGEP,awegep_P1_H
AXINIF,axinif_P1_H
AXUBOL,axubol_P1_H
BACMOH,bacmoh_P1_H
BAHCOF,bahcof_P1_H
BAMKOS,bamkos_P1_charged_H
BARMEP,barmep_P1_charged_H
BAXREY,baxrey_P1_H
BAZBOW,bazbow_P1_H
BECKEC,beckec_P1_H
BEDWIS,bedwis_P1_H
BELQAN,belqan_P1_H
BEPNIV,bepniv_P1_H
BEPNOB,bepnob_P1_H
BEPPOD,beppod_P1_H
BEPYIG,bepyig_P1_H
BEQKAM,beqkam_P1_H
BETZOR,betzor_P1_H
BEWVOQ,bewvoq_P1_charged_H
BIFNOW,bifnow_P1_charged_H
BIFPAK,bifpak_P1_charged_H
BIFPOY,bifpoy_P1_charged_H
BIHVUM,bihvum_P1_H
BIJDUV,bijduv_P1_H
BIKMEQ,bikmeq_P1_H
BIKMEQ01,bikmeq01_P1_H
BIKNOB,biknob_P1_H
BIPLAQ,biplaq_P1_H
BIPLIX,biplix_P1_H
BIPNAS,bipnas_P1_H
BIRSUS,birsus_P1_H
BOGNES,bognes_P1_H
BOHJAK,bohjak_P1_H
BONMAT,bonmat_P1_H
BONMEX,bonmex_P1_H
BOVHEB,bovheb_P1_H
BOWDIC,bowdic_P1_H
BOWDOI,bowdoi_P1_H
BOXFAW,boxfaw_P1_charged_H
BOXFEA,boxfea_P1_charged_H
BOXFOK,boxfok_P1_charged_H
BUFNEW,bufnew_P1_charged_H
BUFNOG,bufnog_P1_charged_H
BUFNUM,bufnum_P1_charged_H
BUFNUM01,bufnum01_P1_charged_H
BUFNUM02,bufnum02_P1_charged_H
BUFPAU01,bufpau01_P1_charged_H
BUKRUW01,bukruw01_P1_H
BUNLAZ,bunlaz_P1_H
BUPKAZ,bupkaz_P1_H
BUPVEP,bupvep_P1_H
BUPVIT,bupvit_P1_H
BUSQIQ,busqiq_P1_H
BUWLUC,buwluc_P1_charged_H
BUWMAJ,buwmaj_P1_charged_H
CAKXET,cakxet_P1_H
CAKXIX,cakxix_P1_H
CAKXOD,cakxod_P1_H
CAKXUJ,cakxuj_P1_H
CAKYAQ,cakyaq_P1_H
CAKYEU,cakyeu_P1_H
CAKYIY,cakyiy_P1_H
CAQCAZ,caqcaz_P1_charged_H
CAQHOU,caqhou_P1_H
CAQKAJ01,caqkaj01_P1_H
CARFOT,carfot_P1_charged_H
CARJEN,carjen_P1_H
CAVFEN01,cavfen01_P1_H
CAVMOD,cavmod_P1_H
CAVSUP,cavsup_P1_H
CAVTAW,cavtaw_P1_H
CAWVIH,cawvih_P1_H
CAYKEU,caykeu_P1_H
CAZGOZ,cazgoz_P1_charged_H
CAZNIC,caznic_P1_charged_H
CAZNOI,caznoi_P1_charged_H
CEBDOD,cebdod_P1_charged_H
CECVAI,cecvai_P1_H
CEFLEF,ceflef_P1_H
CEHKUW,cehkuw_P1_H
CEHLAD,cehlad_P1_H
CEJCAW,cejcaw_P1_charged_H
CEKRUH,cekruh_P1_H
CELNUF,celnuf_P1_charged_H
CELZIE,celzie_P1_H
CELZOK,celzok_P1_H
CELZUQ,celzuq_P1_H
CEMLIS,cemlis_P1_H
CERMIV,cermiv_P1_H
CIBCUO,cibcuo_P1_H
CIDCAW,cidcaw_P1_H
CIDNIM,cidnim_P1_charged_H
CIFLAH,ciflah_P1_charged_H
CILXED,cilxed_P1_H
CILXIH,cilxih_P1_H
CILXON,cilxon_P1_H
CIMTAV,cimtav_P1_charged_H
CISKIA,ciskia_P1_H
CISMAT,cismat_P1_H
CISMAT01,cismat01_P1_H
CITXUZ,citxuz_P1_H
